symbol,date,entry_time,exit_time,action,entry,stop_loss,target,range_width,rr,shares,gross_pnl,commission,net_pnl,exit_reason,capital_after
SPY,2026-01-29,2026-01-29 10:00:00-05:00,2026-01-29 13:20:00-05:00,SHORT,690.61,697.3395,679.43,5.59,1.66,148,-2.96,1.48,-4.44,window_close,99995.56
SPY,2026-01-30,2026-01-30 10:11:00-05:00,2026-01-30 10:30:00-05:00,LONG,693.82,691.0976,698.796,2.488,1.83,367,-1006.46,3.67,-1010.13,stop_loss,98985.43
QQQ,2026-01-30,2026-01-30 10:29:00-05:00,2026-01-30 13:49:00-05:00,SHORT,624.74,628.4173,618.288,3.226,1.75,267,747.6,2.67,744.93,window_close,98942.22
QQQ,2026-02-02,2026-02-02 10:05:00-05:00,2026-02-02 13:25:00-05:00,LONG,625.25,618.3475,637.75,6.25,1.81,143,364.65,1.43,363.22,window_close,99305.44
SPY,2026-02-02,2026-02-02 10:05:00-05:00,2026-02-02 13:25:00-05:00,LONG,694.09,689.2043,702.92,4.415,1.81,202,420.16,2.02,418.14,window_close,99403.57
SPY,2026-02-03,2026-02-03 10:00:00-05:00,2026-02-03 13:20:00-05:00,SHORT,692.955,697.141,685.715,3.62,1.73,237,1439.78,2.37,1437.41,window_close,100840.97
SPY,2026-02-04,2026-02-04 10:00:00-05:00,2026-02-04 13:20:00-05:00,SHORT,687.26,691.631,680.02,3.62,1.66,230,1081.0,2.3,1078.7,window_close,101919.67
QQQ,2026-02-04,2026-02-04 10:00:00-05:00,2026-02-04 13:20:00-05:00,SHORT,609.4,615.3445,599.6202,4.8899,1.65,167,1284.23,1.67,1282.56,window_close,100588.0
SPY,2026-02-05,2026-02-05 10:06:00-05:00,2026-02-05 13:26:00-05:00,SHORT,678.63,683.937,668.75,4.94,1.86,192,-134.4,1.92,-136.32,window_close,101783.35
SPY,2026-02-06,2026-02-06 10:42:00-05:00,2026-02-06 14:02:00-05:00,LONG,686.57,680.567,697.89,5.66,1.89,169,457.99,1.69,456.3,window_close,102239.65
SPY,2026-02-09,2026-02-09 10:06:00-05:00,2026-02-09 13:26:00-05:00,LONG,691.7,688.1753,698.29,3.295,1.87,290,736.6,2.9,733.7,window_close,102973.35
QQQ,2026-02-09,2026-02-09 10:06:00-05:00,2026-02-09 13:26:00-05:00,LONG,610.9102,604.7885,622.1702,5.63,1.84,164,564.13,1.64,562.49,window_close,101150.49
SPY,2026-02-10,2026-02-10 10:06:00-05:00,2026-02-10 13:26:00-05:00,LONG,696.27,693.3197,701.68,2.705,1.83,349,-848.07,3.49,-851.56,window_close,102121.79
QQQ,2026-02-10,2026-02-10 10:06:00-05:00,2026-02-10 13:26:00-05:00,LONG,616.78,612.213,624.26,3.74,1.64,221,-672.94,2.21,-675.15,window_close,100475.34
SPY,2026-02-11,2026-02-11 10:02:00-05:00,2026-02-11 13:22:00-05:00,SHORT,693.54,697.3067,686.87,3.335,1.77,271,364.5,2.71,361.79,window_close,102483.58
QQQ,2026-02-11,2026-02-11 10:02:00-05:00,2026-02-11 13:22:00-05:00,SHORT,613.05,617.731,604.61,4.22,1.8,214,181.9,2.14,179.76,window_close,100655.1
SPY,2026-02-12,2026-02-12 10:08:00-05:00,2026-02-12 11:12:00-05:00,SHORT,692.22,695.5015,686.16,3.03,1.85,312,1890.72,3.12,1887.6,target,104371.18
QQQ,2026-02-12,2026-02-12 10:08:00-05:00,2026-02-12 13:28:00-05:00,SHORT,610.64,616.0575,600.74,4.95,1.83,185,1613.2,1.85,1611.35,window_close,102266.45
SPY,2026-02-13,2026-02-13 10:30:00-05:00,2026-02-13 13:50:00-05:00,LONG,683.85,677.23,695.45,5.8,1.75,157,160.14,1.57,158.57,window_close,104529.75
SPY,2026-02-17,2026-02-17 10:33:00-05:00,2026-02-17 11:23:00-05:00,SHORT,676.24,683.117,663.56,6.34,1.84,151,-1041.45,1.51,-1042.96,stop_loss,103486.79
SPY,2026-02-18,2026-02-18 10:00:00-05:00,2026-02-18 13:20:00-05:00,LONG,686.46,682.6525,693.56,3.55,1.86,271,537.94,2.71,535.23,window_close,104022.02
QQQ,2026-02-18,2026-02-18 10:01:00-05:00,2026-02-18 13:21:00-05:00,LONG,605.95,600.4715,615.89,4.97,1.81,186,487.32,1.86,485.46,window_close,102751.91
